#{"t_start": 1607029383.054191, "env_id": null}
r,l,t
-0.714286,13,81.781451
1.261905,12,81.837402
-0.857143,7,81.871059
1.095238,5,81.894624
1.285714,13,81.954115
-9.785714,10,82.003443
-0.833333,8,82.043057
-0.714286,13,82.105167
-0.714286,13,82.166528
-0.928571,4,82.186947
1.214286,10,82.234566
-0.809524,9,82.277118
-0.619048,17,82.355357
1.190476,9,82.398402
-0.714286,13,82.458665
1.214286,10,82.504516
-0.833333,8,82.5437
1.166667,8,82.582574
-0.738095,12,82.643429
1.238095,11,82.700302
-0.809524,9,82.746288
-0.761905,11,82.801476
1.238095,11,83.006922
1.214286,10,83.056595
1.285714,13,83.116193
1.142857,7,83.150725
1.285714,13,83.209129
1.261905,12,83.267554
-0.738095,12,83.324961
-0.880952,6,83.357167
1.095238,5,83.381671
-9.642857,16,83.456205
-0.761905,11,83.509183
-9.714286,13,83.570921
-9.785714,10,83.616794
1.238095,11,83.668385
-9.714286,13,83.726985
1.166667,8,83.765117
1.285714,13,83.829183
-9.833333,8,83.866993
-0.761905,11,83.920046
1.142857,7,83.955858
-0.761905,11,84.008554
1.190476,9,84.056336
1.214286,10,84.104989
-9.666667,15,84.177062
1.190476,9,84.386825
-0.761905,11,84.438095
1.071429,4,84.459056
-9.809524,9,84.499846
1.142857,7,84.531987
-0.714286,13,84.592504
1.190476,9,84.636426
1.190476,9,84.679212
-9.666667,15,84.748574
-0.880952,6,84.780658
1.285714,13,84.840301
1.119048,6,84.869576
1.119048,6,84.898062
-0.785714,10,84.947893
1.166667,8,84.985726
1.285714,13,85.045307
1.214286,10,85.090649
1.261905,12,85.146005
1.190476,9,85.187601
-0.809524,9,85.231059
-0.761905,11,85.283333
1.238095,11,85.334744
-0.857143,7,85.373364
1.190476,9,85.415939
1.214286,10,85.462153
-0.738095,12,85.519404
1.261905,12,85.575063
1.166667,8,85.769726
1.309524,14,85.833727
1.190476,9,85.876694
1.190476,9,85.920224
1.238095,11,85.972114
-0.761905,11,86.025081
1.119048,6,86.058104
-9.642857,16,86.133536
1.214286,10,86.180074
-0.738095,12,86.236965
1.071429,4,86.257762
-9.761905,11,86.308091
-9.714286,13,86.365605
-0.809524,9,86.410032
-0.761905,11,86.463369
1.119048,6,86.493575
1.119048,6,86.521531
-0.690476,14,86.586564
-9.690476,14,86.648774
-0.690476,14,86.71536
-0.928571,4,86.737574
-9.666667,15,86.808358
1.261905,12,86.866998
-9.714286,13,86.926573
1.119048,6,87.134475
-9.714286,13,87.19499
-9.809524,9,87.237871
1.071429,4,87.25837
1.309524,14,87.323325
-0.761905,11,87.375063
1.095238,5,87.401288
1.333333,15,87.478474
1.190476,9,87.524745
1.142857,7,87.56025
-0.785714,10,87.608962
1.119048,6,87.637035
-0.690476,14,87.700779
1.261905,12,87.755912
-0.738095,12,87.812644
-0.904762,5,87.83865
1.166667,8,87.878907
1.095238,5,87.90397
1.142857,7,87.936213
-9.738095,12,87.990147
-0.904762,5,88.015431
-0.761905,11,88.067078
-0.785714,10,88.118466
1.285714,13,88.180437
-0.928571,4,88.203325
1.166667,8,88.242153
-0.714286,13,88.305599
1.119048,6,88.337238
1.095238,5,88.362724
-0.857143,7,88.575675
-0.880952,6,88.606606
-0.785714,10,88.655404
-0.785714,10,88.705544
-0.833333,8,88.746131
-0.785714,10,88.794544
1.095238,5,88.820106
-0.738095,12,88.881471
1.238095,11,88.933619
1.071429,4,88.954141
-0.714286,13,89.013732
1.166667,8,89.051969
-0.857143,7,89.091409
1.071429,4,89.112598
1.190476,9,89.156049
-9.666667,15,89.227187
1.119048,6,89.256425
-0.904762,5,89.283605
1.190476,9,89.32683
1.119048,6,89.356201
-0.738095,12,89.413514
-0.904762,5,89.43937
-0.761905,11,89.491412
-0.809524,9,89.536299
-0.785714,10,89.587269
1.261905,12,89.645857
-9.666667,15,89.712719
-0.761905,11,89.764053
1.166667,8,89.955935
1.309524,14,90.020135
-9.761905,11,90.069574
1.119048,6,90.102571
1.380952,17,90.182364
1.190476,9,90.226546
-0.738095,12,90.283402
-9.595238,18,90.363747
1.166667,8,90.400998
1.190476,9,90.442914
-0.761905,11,90.497868
1.119048,6,90.527207
1.190476,9,90.571293
1.190476,9,90.617366
1.142857,7,90.651302
-0.809524,9,90.697914
1.309524,14,90.762924
-0.761905,11,90.81518
-0.690476,14,90.879538
1.142857,7,90.911788
1.238095,11,90.961949
1.238095,11,91.012856
1.071429,4,91.032448
1.285714,13,91.092123
1.190476,9,91.135483
1.238095,11,91.343101
-9.690476,14,91.405565
-0.785714,10,91.455015
-0.857143,7,91.490232
-9.714286,13,91.55347
-0.857143,7,91.594266
-0.738095,12,91.654529
1.166667,8,91.69518
-0.833333,8,91.73755
1.357143,16,91.816036
1.119048,6,91.846927
1.261905,12,91.905632
1.285714,13,91.966426
1.214286,10,92.01402
1.119048,6,92.043439
-0.880952,6,92.073903
1.261905,12,92.134365
1.238095,11,92.186707
-0.880952,6,92.219039
-9.738095,12,92.274217
1.261905,12,92.331619
-9.785714,10,92.377801
-0.738095,12,92.435219
1.142857,7,92.470738
-0.666667,15,92.54248
1.166667,8,92.750371
-0.833333,8,92.792355
1.214286,10,92.841586
-0.666667,15,92.914649
1.142857,7,92.949734
-9.714286,13,93.010002
-0.714286,13,93.074227
1.285714,13,93.140321
1.166667,8,93.180902
1.071429,4,93.201561
-0.833333,8,93.242067
-9.714286,13,93.302793
-9.690476,14,93.368337
1.166667,8,93.406461
1.238095,11,93.461359
-0.857143,7,93.497996
-9.666667,15,93.569936
-0.761905,11,93.625175
1.261905,12,93.685255
-9.666667,15,93.758083
-0.714286,13,93.822158
-0.809524,9,93.868671
1.214286,10,93.916175
1.142857,7,93.94985
1.214286,10,93.998283
1.261905,12,94.229703
-0.809524,9,94.27353
1.238095,11,94.327344
-0.785714,10,94.378941
-0.880952,6,94.412002
-0.857143,7,94.450198
-0.928571,4,94.472292
1.261905,12,94.531565
-9.666667,15,94.604314
-0.809524,9,94.651864
-0.761905,11,94.707357
-0.761905,11,94.764498
1.214286,10,94.815272
1.166667,8,94.854688
1.190476,9,94.899059
1.214286,10,94.947472
1.190476,9,94.992276
1.261905,12,95.049783
1.190476,9,95.097739
1.309524,14,95.174647
1.238095,11,95.231833
1.214286,10,95.281728
-9.714286,13,95.341002
-0.928571,4,95.362195
1.238095,11,95.4146
-0.785714,10,95.639267
-0.785714,10,95.690545
1.357143,16,95.765822
-9.809524,9,95.807495
-0.833333,8,95.847133
1.142857,7,95.882428
-9.690476,14,95.945907
1.238095,11,95.997262
1.142857,7,96.029799
-0.833333,8,96.068325
1.333333,15,96.141483
1.238095,11,96.199345
-0.714286,13,96.26377
1.261905,12,96.324865
-9.714286,13,96.386328
-9.738095,12,96.443563
1.238095,11,96.501455
1.190476,9,96.545716
-0.666667,15,96.617463
1.119048,6,96.64851
1.261905,12,96.702858
1.261905,12,96.760376
1.119048,6,96.789578
1.214286,10,96.838127
-9.833333,8,96.876228
-0.738095,12,97.10601
1.214286,10,97.153419
1.238095,11,97.209516
1.071429,4,97.230935
1.261905,12,97.291476
-9.761905,11,97.344565
1.095238,5,97.370103
-9.738095,12,97.424305
-9.785714,10,97.471308
-9.690476,14,97.537787
-9.761905,11,97.589304
1.238095,11,97.639443
-0.761905,11,97.692216
1.261905,12,97.749534
-0.666667,15,97.820719
1.309524,14,97.886021
1.261905,12,97.943692
1.095238,5,97.96814
-9.690476,14,98.032181
